Expense,Amount,Category,Date,Interest/Debt
The Fat Seed,"₱1,492.00",Food,"September 26, 2024",
Mcdo,₱213.00,Food,"September 26, 2024",
Kimchi Tofu,₱75.00,Food,"September 26, 2024",
Chicken,₱95.00,Food,"September 26, 2024",
Ikot,₱33.00,Transportation,"September 26, 2024",
Janggs,₱205.00,Food,"September 27, 2024",
Creamy Indian Chicken,₱95.00,Food,"September 27, 2024",
Ikot,₱11.00,Transportation,"September 27, 2024",
JoyRide,₱210.00,Transportation,"September 28, 2024",
Water Bill,₱113.28,Home,"September 28, 2024",
Janggs,₱132.00,Food,"September 28, 2024",
Hungarian,₱82.00,Food,"September 28, 2024",
Ate,"₱5,000.00",Home,"September 29, 2024",
Macbook Keyboard Cover,₱338.00,Technology,"September 29, 2024",
JoyRide,₱190.00,Transportation,"September 30, 2024",
Dohtonbori,"₱1,151.75",Food,"September 30, 2024",
Toge,₱25.00,Food,"October 1, 2024",
Ikot,₱22.00,Transportation,"October 1, 2024",
Overload Sisig,₱354.00,Food,"October 1, 2024",
Upbeat,"₱1,400.00",Personal,"October 1, 2024",
Water,₱25.00,Food,"October 1, 2024",
Chicken and Chopseuy,₱140.00,Food,"October 1, 2024",
Janggs,₱284.00,Food,"October 2, 2024",
Toge at Kalabasa,₱90.00,Food,"October 2, 2024",
Pansit,₱75.00,Food,"October 2, 2024",
Ikot,₱22.00,Transportation,"October 2, 2024",
Rocha,₱350.00,Food,"October 3, 2024",
Chowking,₱279.00,Food,"October 3, 2024",
Turon,₱20.00,Food,"October 3, 2024",
Food,₱160.00,Food,"October 3, 2024",
Netflix,₱249.00,Entertainment,"October 4, 2024",
Laundry,₱197.00,Home,"October 4, 2024",
Sting,₱22.00,Food,"October 4, 2024",
Chicken,₱78.00,Food,"October 4, 2024",
Pansit,₱75.00,Food,"October 4, 2024",
Ikot,₱11.00,Transportation,"October 4, 2024",
JoyRide,₱220.00,Transportation,"October 7, 2024",
Matcha,₱115.00,Food,"October 7, 2024",
Rodics,₱185.00,Food,"October 7, 2024",
CS Canteen,₱85.00,Food,"October 7, 2024",
Lugaw,₱150.00,Food,"October 8, 2024",
CS Canteen,₱100.00,Food,"October 8, 2024",
Chicken,₱95.00,Food,"October 8, 2024",
Greenwich,₱659.00,Food,"October 9, 2024",
Ikot,₱11.00,Transportation,"October 9, 2024",
Chicken Inasal,₱85.00,Food,"October 9, 2024",
Karinderya,₱70.00,Food,"October 9, 2024",
Sisig,₱95.00,Food,"October 10, 2024",
Mcdo,₱198.00,Food,"October 10, 2024",
Food,₱242.00,Food,"October 10, 2024",
Ikot,₱11.00,Transportation,"October 10, 2024",
Rocha,₱110.00,Food,"October 11, 2024",
Chicken,₱27.00,Food,"October 11, 2024",
Ikot,₱22.00,Transportation,"October 11, 2024",
Chicken and Pesto,₱165.00,Food,"October 11, 2024",
Amazon Prime,₱889.00,"Entertainment, Personal","October 11, 2024",
